GEOID,happening,human
20157,59.737,42.769
20159,63.854,46.416
20161,70.628,51.859
20163,57.984,41.43
20165,62.451,45.874
20167,57.961,41.551
20169,63.848,46.176
20171,54.113,39.678
20173,65.974,48.937
20175,66.507,49.907
20177,69.179,51.482
20179,54.927,39.296
20181,62.811,45.987
20183,59.616,42.828
20185,63.148,45.44
20187,60.209,43.949
20189,61.086,45.949
20191,61.081,44.769
20193,58.932,41.85
20195,59.849,42.493
20197,55.062,40.59
20199,55.913,39.832
20201,59.321,42.213
20203,62.439,44.755
20205,58.496,42.27
20207,60.637,44.444
20209,74.219,57.993
21001,59.199,41.865
21003,59.678,43.941
21005,64.256,48.687
21007,58.733,43.262
21009,62.626,46.128
21011,65.424,49.94
21013,58.765,42.839
21015,61.095,47.381
21017,65.048,48.137
21019,65.223,49.929
21021,64.052,47.065
21023,61.573,47.647
21025,63.375,47.28
21027,63.111,47.005
21029,60.29,45.426
21031,57.309,43.92
21033,63.214,47.969
21035,63.806,48.679
21037,65.341,49.1
21039,59.579,43.623
21041,56.368,42.777
21043,63.672,47.2
21045,57.287,41.687
21047,64.445,46.682
21049,61.656,45.277
21051,56.674,42.267
21053,53.731,40.244
